postcode,lat,long
2565,-33.99,150.84
2566,-34.02,150.84
2567,-34.05,150.76
2568,-34.11,150.75
2569,-34.19,150.71
2570,-34.08,150.54
2571,-34.29,150.53
2572,-34.18,150.53
2573,-34.22,150.59
2574,-34.35,150.63
2575,-34.41,150.52
2576,-34.54,150.39
2577,-34.61,150.48
2578,-34.63,150.32
2579,-34.56,149.99
2580,-34.44,149.96
2581,-34.92,149.24
2582,-34.75,148.96
2583,-34.08,149.15
2584,-34.67,148.63
2585,-34.6,148.56
2586,-34.44,148.72
2587,-34.55,148.37
2588,-34.52,148.16
2590,-34.76,147.85
2594,-34.43,148.07
2600,-35.31,149.14
2601,-35.28,149.11
2602,-35.26,149.15
2603,-35.32,149.12
2604,-35.32,149.15
2605,-35.32,149.08
2606,-35.35,149.08
2607,-35.38,149.1
2608,-35.28,149.13
2609,-35.3,149.19
2610,0.0,0.0
2611,-35.56,148.62
2612,-35.27,149.13
2614,-35.26,149.08
2615,-35.2,149.03
2616,-35.25,149.07
2617,-35.24,149.07
2618,-35.52,149.08
2619,-35.38,149.2
2620,-35.58,149.23
2621,-35.81,149.43
2622,-35.65,149.81
2623,-35.55,149.45
2624,-36.18,148.44
2625,-36.51,148.3
2626,-35.96,149.15
2627,-36.44,148.51
2628,-36.44,148.7
2629,-36.0,148.77
2630,-36.37,148.95
2631,-36.74,149.26
2632,-36.82,149.28
2633,-36.93,148.83
2640,-36.08,146.91
2641,-36.04,146.92
2642,-35.44,146.44
2643,-35.96,146.61
2644,-35.96,147.13
2645,-35.13,146.13
2646,-35.85,146.52
2647,-35.95,145.96
2648,-34.15,142.09
2649,-35.6,148.09
2650,-35.16,147.51
2651,-32.71,151.55
2652,-34.04,146.03
2653,-35.83,148.07
2655,-35.32,147.19
2656,-35.12,147.0
2658,-35.44,146.99
2659,-35.6,146.79
2660,-35.67,147.0
2661,-35.15,147.3
2663,-35.15,145.98
2665,-34.36,146.9
2666,-34.46,147.68
2668,-34.18,147.41
2669,-33.5,146.8
2671,-34.11,147.14
2672,-33.39,146.58
2675,-33.48,145.53
2678,-35.06,147.35
2680,-34.26,146.1
2681,-34.18,146.11
2700,-35.03,146.61
2701,-34.82,147.2
2702,-34.79,147.04
2703,-34.63,146.4
2705,-34.49,146.43
2706,-34.56,146.01
2707,-34.86,145.67
2708,0.0,0.0
2710,-35.23,144.49
2711,-33.68,144.75
2712,-35.66,145.81
2713,-35.59,145.29
2714,-35.51,145.05
2715,-33.87,142.89
2716,-35.35,145.53
2717,-34.09,142.04
2720,-35.32,148.45
2721,-33.99,147.68
2722,-34.82,148.08
2725,-34.51,147.88
2726,-34.91,148.32
2727,-35.08,148.41
2729,-35.31,148.06
2730,-31.49,152.66
2731,-35.79,144.63
2732,-35.63,144.13
2733,-35.19,144.16
2734,-35.25,143.9
2735,-35.66,144.14
2736,-34.96,143.34
2737,-34.51,142.85
2738,-34.18,142.22
2739,-34.17,142.18
2745,-33.79,150.67
2747,-33.74,150.72
2748,-33.78,150.72
2749,-33.67,150.68
2750,-33.74,150.65
2751,-33.73,151.28
2752,-33.94,150.58
2753,-33.62,150.71
2754,-33.58,150.72
2755,-33.6,150.8
2756,-33.64,150.79
2757,-33.55,150.7
2758,-33.54,150.44
2759,-33.81,150.79
2760,-33.78,150.79
2761,-33.73,150.87
2762,-33.7,150.89
2763,-33.73,150.91
2765,-33.67,150.8
2766,-33.8,150.85
2767,-33.77,150.87
2768,-33.74,150.92
2769,-34.05,150.75
2770,-33.73,150.82
2773,-33.77,150.62
2774,-33.74,150.61
2775,-33.33,150.98
2776,-33.7,150.53
2777,-33.67,150.65
2778,-33.79,150.04
2779,-33.72,150.45
2780,-33.71,150.31
2782,-33.71,150.38
2783,-33.72,150.43
2784,-33.72,150.41
2785,-33.64,150.28
2786,-33.51,150.28
2787,-33.84,149.71
2790,-33.22,150.02
2791,-33.61,149.14
2792,-33.59,149.03
2793,-33.93,148.86
2794,-33.91,148.46
2795,-33.91,149.33
2796,0.0,0.0
2797,-33.71,149.03
2798,-33.34,149.25
2799,-33.65,149.27
2800,-33.12,149.03
2803,-34.16,148.45
2804,-33.68,148.62
2805,-33.65,148.41
2806,-33.43,148.37
2807,-34.04,148.55
2808,-33.94,149.05
2809,-34.04,148.4
2810,-33.99,147.93
2820,-32.6,148.96
2821,-32.06,148.26
2823,-31.84,148.18
2824,-31.67,147.86
2825,-31.94,146.48
2827,-31.66,148.88
2828,-31.11,148.86
2829,-31.12,148.37
2830,-32.2,148.9
2831,-31.45,148.41
2832,-29.11,147.9
2833,-29.55,148.58
2834,-29.43,147.98
2835,-32.03,144.44
2836,-30.81,142.88
2839,-30.2,146.54
2840,-29.19,145.88
2842,-31.82,149.12
2843,-31.77,149.61
2844,-32.12,149.47
2845,-33.41,150.06
2846,-33.15,149.99
2847,-33.35,149.98
2848,-32.97,149.96
2849,-32.98,150.1
2850,-32.86,149.8
2852,-32.19,149.53
2864,-33.23,148.84
2865,-33.1,148.54
2866,-33.18,148.93
2867,-32.87,148.5
2868,-32.75,148.75
2869,-32.73,148.19
2870,-32.93,148.26
2871,-33.5,148.31
2873,-32.42,147.51
2874,-32.63,147.56
2875,-32.78,147.86
2876,-33.11,147.8
2877,-33.09,147.15
2878,-32.83,143.86
2879,-32.26,142.41
2880,-31.96,141.47
2890,0.0,0.0
2891,0.0,0.0
2898,-31.55,159.08
2899,-36.08,146.93
2900,-35.42,149.07
2901,0.0,0.0
2902,-35.38,149.05
2903,-35.4,149.1
2904,-35.4,149.12
2905,-35.43,149.08
2906,-35.52,149.08
2911,-35.22,149.12
2912,-35.52,149.08
2913,-35.2,149.13
2914,-35.17,149.13
3000,-37.81,144.97
3001,-38.37,144.77
3002,-37.82,144.99
3003,-37.81,144.94
3004,-37.84,144.98
3005,-37.82,144.95
3006,-37.82,144.97
3008,-37.81,144.95
3010,-37.8,144.96
3011,-37.8,144.9
3012,-37.81,144.85
3013,-37.82,144.89
3015,-37.84,144.88
3016,-37.86,144.9
3018,-37.87,144.83
3019,-37.78,144.86
3020,-37.78,144.82
3021,-37.75,144.77
3022,-37.78,144.8
3023,-37.75,144.75
3024,-37.9,144.56
3025,-37.84,144.86
3026,-37.84,144.8
3027,-37.86,144.76
3028,-37.87,144.78
3029,-37.88,144.7
3030,-37.97,144.58
3031,-37.79,144.93
3032,-37.78,144.92
3033,-37.74,144.8
3034,-37.74,144.82
3036,-37.72,144.83
3037,-37.72,144.78
3038,-37.73,144.81
3039,-37.77,144.92
3040,-37.76,144.9
3041,-37.74,144.91
3042,-37.71,144.89
3043,-37.69,144.88
3044,-37.73,144.94
3045,-37.67,144.83
3046,-37.7,144.92
3047,-37.68,144.92
3048,-37.65,144.93
3049,-37.67,144.89
3050,-37.8,144.96
3051,-37.91,145.06
3052,-37.8,144.96
3053,-37.78,144.97
3054,-37.78,144.97
3055,-37.77,144.94
3056,-37.76,144.94
3057,-37.76,144.98
3058,-37.73,144.96
3059,-37.64,144.89
3060,-37.76,144.9
3061,-37.64,144.95
3062,-37.64,144.94
3063,-37.63,144.84
3064,-37.6,144.94
3065,-37.8,144.98
3066,-37.8,144.98
3067,-37.8,145.0
3068,-37.79,144.99
3070,-37.77,145.0
3071,-37.76,145.0
3072,-37.74,145.03
3073,-37.69,145.01
3074,-37.68,145.01
3075,-37.67,145.02
3076,-37.64,145.01
3078,-37.78,145.03
3079,-37.77,145.04
3081,-37.75,145.05
3082,-37.67,145.06
3083,-37.7,145.07
3084,-37.74,145.09
3085,-37.73,145.07
3086,-37.72,145.05
3087,-37.71,145.08
3088,-37.71,145.12
3089,-37.64,145.22
3090,-37.67,145.12
3091,-37.64,145.13
3093,-37.73,145.09
3094,-37.72,145.12
3095,-37.71,145.15
3096,-37.67,145.19
3097,-37.7,145.28
3099,-37.59,145.22
3101,-37.81,145.04
3102,-37.8,145.05
3103,-37.81,145.08
3104,-37.79,145.07
3105,-37.77,145.08
3106,-37.77,145.12
3107,-37.76,145.1
3108,-37.78,145.12
3109,-37.81,145.19
3110,0.0,0.0
3111,-38.18,144.47
3113,-37.73,145.22
3114,-37.78,145.21
3115,-37.74,145.27
3116,-37.75,145.33
3121,-37.83,145.01
3122,-37.84,145.05
3123,-37.83,145.04
3124,-37.82,145.06
3125,-37.84,145.12
3126,-37.84,145.09
3127,-37.82,145.1
3128,-37.82,145.12
3129,-37.8,145.13
3130,-37.82,145.15
3131,-37.84,145.18
3132,-37.82,145.19
3133,-37.84,145.19
3134,-37.81,145.23
3135,-37.82,145.25
3136,-37.8,145.28
3137,-37.8,145.31
3138,-37.77,145.33
3139,-37.8,145.54
3140,-37.76,145.35
3141,-36.99,144.06
3142,-37.84,145.0
3143,-37.86,145.02
3144,-37.84,145.03
3145,-37.88,145.04
3146,-37.85,145.07
3147,-37.86,145.08
3148,-37.89,145.08
3149,-37.88,145.13
3150,-37.88,145.17
3151,-37.86,145.14
3152,-37.87,145.24
3153,-37.84,145.27
3154,-37.85,145.31
3155,-37.86,145.28
3156,-37.88,145.3
3158,-37.9,145.33
3159,-37.92,145.4
3160,-37.91,145.36
3161,-38.03,145.31
3162,-37.88,145.03
3163,-37.89,145.06
3164,-38.02,145.24
3165,-37.93,145.06
3166,-37.9,145.08
3167,-37.93,145.1
3168,-37.93,145.12
3169,-37.94,145.1
3170,-37.87,145.1
3171,-37.95,145.16
3172,-37.97,145.12
3173,-37.99,145.15
3174,-37.97,145.18
3175,-38.03,145.18
3176,0.0,0.0
3177,-38.0,145.24
3178,-37.93,145.24
3179,-37.86,145.26
3180,-37.89,145.25
3181,-37.85,144.99
3182,-37.87,144.98
3183,-37.87,145.0
3184,-37.88,145.0
3185,-37.88,145.0
3186,-37.91,144.99
3187,-37.9,145.0
3188,-37.93,145.03
3189,-37.93,145.04
3190,-37.95,145.03
3191,-37.95,145.01
3192,-37.96,145.06
3193,-37.99,145.03
3194,-37.98,145.06
3195,-38.03,145.1
3196,-38.06,145.12
