,district_code,source,valuation_num,property_id,unit_number,house_number,street_name,suburb_name,postcode,contract_date,purchase_price,land_description,area,area_type,dimensions,comp_code,zone_code,vendor_name,purchaser_name
13669,159,VALNET1,1004792000000,1760929,,79,THORBURN ST,NIMBIN,2480,,200000,LOT 2 DP 630833.,10.65,H,,,R,,
13670,014,ARCHIVE,1573600000000,355197,,12,IRENE PDE,NORAVILLE,2263,,225000,LOT 9 SEC A DP 25957.,689.2,M,,CT,A,,
13671,014,VALNET1,2561600000000,370200,,70,OLEANDER ST,NORAVILLE,2263,,189500,LOT 89 DP 27229.,480.6,M,,,A,,
13672,014,ARCHIVE,701300000000,,,3,CLARK RD,NORAVILLE,2263,,155000,LOT 38 DP 22629.,657.6,M,,DB,A,,
13673,014,ARCHIVE,698900000000,,,40,CLARK RD,NORAVILLE,2263,,175000,LOT 54 DP 26394.,689.2,M,,DB,A,,
13674,082,ARCHIVE,859000000000,,,22,DUNBAR CL,NORMANHURST,2076,,425000,LOT 7 DP 30328.IRR 14.2/26.52X43.1/42.77,777.8,M,,EB,A,,
13675,082,ARCHIVE,892700000000,,,32,EATON AV,NORMANHURST,2076,,387000,LOT 16 SEC D DP 9144.,766.4,M,,EC,A,,
13676,014,ARCHIVE,2896900000000,374704,,36,REYNOLDS RD,NORAVILLE,2263,,1810,LOT 79 DP 26394.,961.1,M,,DB,A,,
13677,082,VALNET1,1336510000000,647938,,3,HINEMOA AV,NORMANHURST,2076,,326000,"LOT 141 DP 803531, LOT 1-12 SP 37857.",4263.0,M,,,A,,
13678,003,VALNET1,2452814400000,69110,,36,NAROOMA RD,NIAGARA PARK,2250,,16000,LOT 98 DP 245721 SUBJECT TO EASEMENT.,609.0,M,,,A,,
13679,014,ARCHIVE,1094100000000,347783,,70,EVANS RD,NORAVILLE,2263,,180000,LOT 15 DP 27001.,550.1,M,,DB,A,,
13680,082,VALNET1,0791200000000,637816,,59,DENMAN PD,NORMANHURST,2076,,237000,LOT E (RESUB PT LOTS B&D)(BEING LOTS 1-2 IN SP 2 2308),766.3,M,,,A,,
13681,082,ARCHIVE,790400000000,,,92,DENMAN PD,NORMANHURST,2076,,436000,LOT 9 DP 21407.,695.6,M,,EB,A,,
13682,211,VALNET1,1182500000000,2151253,,470,WILSON ST,NEWTOWN,2042,,150000,"LOT 1 DP 62482, LOTS 1-14 SP 60346.",733.5,M,,,A,,
13683,013,VALNET1,0605039100000,321319,,,ALLANDALE CRES,NORTH ARM COVE,2324,,6000,LOT 1560 DP 12277.,1688.3,M,,,R,,
13684,013,ARCHIVE,605031700000,,,,ALLANDALE CRES,NORTH ARM COVE,0,,24250,LOT 1741 DP 12277.,954.8,M,,RR,R,,
13685,013,VALNET1,0605172300000,321417,,,BARADINE CR,NORTH ARM COVE,2324,,6000,LOT 1525 DP 12277.,954.8,M,,,R,,
13686,013,ARCHIVE,605172000000,,,,BARADINE CR,NORTH ARM COVE,2324,,19000,LOT 1522 DP 12277.,954.8,M,,RY,R,,
13687,159,ARCHIVE,993930001000,,,2,BASIL RD,NIMBIN,2480,,130000,LOT 1 DP 702668.,5000.0,M,,RE,R,,
13688,159,ARCHIVE,993931200000,,,29,BASIL RD,NIMBIN,2480,,103000,LOT 12 DP 702668.,6774.0,M,,RE,R,,
13689,014,ARCHIVE,1740700000000,357658,,25,KELSEY RD,NORAVILLE,2263,,186000,LOT 20 DP 27833.,461.6,M,,CT,A,,
13690,014,ARCHIVE,1737800000000,357629,,36,KELSEY RD,NORAVILLE,2263,,247000,LOT 60 DP 26820.,682.9,M,,CT,A,,
13691,211,ARCHIVE,315100000000,,,3,COPELAND AV,NEWTOWN,2042,,370000,LOT 12 DP 4714.,,,,BP,A,,
13692,014,VALNET1,1772500000000,357999,,13,KERRYLOUISE AVE,NORAVILLE,2263,,185000,LOT 6 SEC F DP 25957.,411.0,M,,,A,,
13693,014,ARCHIVE,1773400000000,358008,,6,KERRYLOUISE AVE,NORAVILLE,2263,,159000,LOT 10 SEC E DP 25692.,461.6,M,,CT,A,,
13694,014,ARCHIVE,1824100000000,358787,,5,KOOLOORA RD,NORAVILLE,2263,,135000,LOT 58 DP 27833.,461.6,M,,CT,A,,
13695,148,VALNET1,0381453220000,1653473,,,PH NEWRYBAR DP'S,NEWRYBAR,2479,,235000,PH NEWRYBAR LOT 4 DP707551,35.5,H,,,R,,
13696,082,VALNET1,2606810001000,671351,,26A,STUART AV,NORMANHURST,2076,,430000,LOT 1152 DP 815064 EASEMENT(S).,844.2,M,,,A,,
13697,014,ARCHIVE,1972900000000,360882,,5,LEONORA PDE,NORAVILLE,2263,,198000,LOT 9 SEC G DP 25692.,733.5,M,,CT,A,,
13698,014,ARCHIVE,499300000000,,,123,BUDGEWOI RD,NORAVILLE,2263,,181000,PSH WALLARAH LOT 290 DP 755266.,442.6,M,,CT,A,,
13699,003,VALNET1,2748661000000,74128,,866,PACIFIC HWY,NIAGARA PARK,2250,,163000,"LOT 411 DP 826663 SUBJECT TO DRAINAGE EASEMENT, LOTS 1-9 SP 44477.",2932.0,M,,,A,,
13700,206,ARCHIVE,549900000000,,,48 - 52,DARLEY ST,NEWTOWN,2042,,210000,"LOT 1 DP 559849, LOTS 1-27 SP 11053.",,,,ED,A,,
13701,082,ARCHIVE,2739800000000,674260,,10,VANTAGE PL,NORMANHURST,2076,,346250,LOT 41 DP 219174.,986.4,M,,EC,A,,
13702,171,VALNET1,0484762020000,1815516,,,GLENCOE RD,NORTH ARM,2484,,225000,LOT 4 DP 850073.,2.002,H,,,R,,
13703,211,ARCHIVE,816500000000,,,33,PINE ST,NEWTOWN,2042,,397000,LOT 114 DP 2070.,,,,BP,A,,
13704,003,VALNET1,1804121000000,56612,,97,JARRETT ST,NORTH GOSFORD,2250,,100000,LOT 81 DP 578188.,1146.0,M,,,A,,
13705,004,VALNET1,2931800000000,144507,,90,MARINE PDE,NORDS WHARF,2301,,510000,LOT 6 DP 13689 & PO 78/67,240.3,M,,,A,,
13706,003,ARCHIVE,1446305200000,50108,,101,GLENNIE ST,NORTH GOSFORD,2250,,140000,"LOT 1 DP 716704, LOTS 1-14 SP 30024, LOTS 16-23 SP 30200.",5686.0,M,,MJ,A,,
13707,097,ARCHIVE,690907249000,,,,PRINCES HWY,NORTH BATEMANS BAY,2536,,200000,PSH EAST NELLIGEN LOT 12 DP 804418,2.036,H,,LS,R,,
13708,020,ARCHIVE,203851500000,,,,PH TIVY,NIMMITABEL,2631,,187500,LOT 4 DP 866885.,320.8,H,,RC,R,,
13709,171,ARCHIVE,0946850600000,,,34,BIRRIGAN CL,NOBBYS CREEK,2484,,250000,LOT 7 DP 831766.,6.606,H,,RN,R,,
13710,209,ARCHIVE,970400000000,,,37 - 39,O'DONNELL ST,NORTH BONDI,2026,,290000,"LOT 1 DP 514661, LOTS 1-48 SP 3123.",4022.0,M,,TD,A,,
13711,209,ARCHIVE,968800000000,,,71,O'DONNELL ST,NORTH BONDI,0,,586000,LOT 2 DP 505063.,196.0,M,,ED,A,,
13712,003,VALNET1,1212810000000,45792,,6,ELGATA AV,NORTH AVOCA,2260,,260000,"LOT 273 DP 8986, LOTS 1-2 SP 34229.",556.4,M,,,A,,
13713,091,ARCHIVE,1158100000000,908573,,7,DAISY ST,NORTH BALGOWLAH,2093,,590000,LOT 78 DP 8443.,,,,ES,A,,
13714,013,ARCHIVE,651544500000,,,,TENTERFIELD RD,NORTH ARM COVE,2324,,4000,LOT 47 DP 13357.,1113.0,M,,RY,R,,
13715,013,ARCHIVE,651600320000,,,25,THE ESPLANADE,NORTH ARM COVE,2324,,70000,LOT 705 DP 9938.,,,,ZL,Z,,
13716,013,ARCHIVE,651600410000,,,7,THE ESPLANADE,NORTH ARM COVE,2324,,52500,LOT 7096 DP 260497.,953.3,M,,ZL,Z,,
13717,003,ARCHIVE,2576300000000,71262,,27,OCEAN ST,NORTH AVOCA,2260,,665000,LOT 61 DP 7547.,607.0,M,,GB,A,,
13718,144,VALNET1,2029100000000,1596496,,27 - 33,JUDD ST,NORTH CRONULLA,0,,277500,LOTS 13/15 SEC 1 DP 5803 & LOT 2 DP 560836(BEING LOTS 1-21 IN S P 7721 ),2246.0,M,,,A,,
13719,091,VALNET1,3264810000000,933475,,104A,PITT RD,NORTH CURL CURL,2099,,430000,LOT 2 DP 829344.,238.8,M,,,A,,
13720,003,ARCHIVE,549800000000,,,19,BRADYS GULLY RD,NORTH GOSFORD,2250,,177000,LOT 37 DP 29765 SUBJECT TO DRAINAGE EASEMENT.,4667.0,M,,FC,A,,
13721,003,ARCHIVE,1700400000000,54720,,75,HILLS ST,NORTH GOSFORD,2250,,190000,LOT 28 SEC D DP 1591.,689.2,M,,MJ,A,,
13722,003,VALNET1,1803803000000,56606,,111,JARRETT ST,NORTH GOSFORD,2250,,165000,LOT 4 DP 22435.,695.6,M,,,A,,
13723,003,VALNET1,1806500000000,56644,,29,JARRETT ST,NORTH GOSFORD,2250,,205000,"LOT 1 DP 250892, LOTS 1-2 SP 39213.",999.0,M,,,A,,
13724,091,ARCHIVE,4728700000000,948211,,36,WOODBINE ST,NORTH BALGOWLAH,2093,,530000,LOT 177 DP 11497.,,,,ES,A,,
13725,097,VALNET1,0748810000000,1013589,,1 - 9,WHARF RD,NORTH BATEMANS BAY,2536,,92500,"LOTS 9,11,13,15,17-18 SEC 2 DP 1067, PART LOTS 10,12,14,16 SEC 2 DP 1067, LOT 1 DP 561367, LOTS 1-8 SP 14770, LOTS 11-18 SP 17025, LOTS 20-25 SP 30979, LOTS 27-34 SP 33263, LOTS 36-43 SP 34662, LOTS 45-50 SP 35444, LOTS 52-59 SP 36184.",1.193,H,,,A,,
13726,097,ARCHIVE,750900000000,,,8,WRAY STREET,NORTH BATEMANS BAY,2536,,127000,LOT 4 DP 26299 SUBJECT TO DRAINAGE EASEMENT.,872.6,M,,SJ,A,,
13727,149,VALNET1,0223600000000,1662558,,17,HAMMOND ST,NORTH BELLINGEN,2454,,110000,LOT 4 SEC C DP8086 TOWN OF NORTH BELLINGEN,512.2,M,,,A,,
13728,149,VALNET1,0223400000000,1662553,,25,HAMMOND ST,NORTH BELLINGEN,2454,,144800,"LOTS 4-5 SEC B DP 8086, LOT A DP 440207.",1625.0,M,,,A,,
13729,209,ARCHIVE,551500000000,,,76,GILGANDRA RD,NORTH BONDI,2026,,612000,LOT 2 DP 500867.,202.3,M,,CD,A,,
13730,003,ARCHIVE,1543420000000,52220,,36,HARCOURT PL,NORTH AVOCA,2260,,135000,LOT 33 DP 242821 SUBJECT TO ROW.,1328.0,M,,GR,A,,
13731,003,ARCHIVE,1669200000000,54267,,15,HIBISCUS AV,NORTH AVOCA,2260,,500000,LOT 292 DP 218857.,1144.0,M,,GR,A,,
13732,082,ARCHIVE,1335600000000,647926,,39,HINEMOA AV,NORMANHURST,2076,,375000,LOT A DP 23881.DIM,752.5,M,,EB,A,,
13733,013,VALNET1,0635990313000,323367,,,OUTLOOK DR,NORTH ARM COVE,2324,,3000,LOT 724 DP 9938.,1518.0,M,,,R,,
13734,091,VALNET1,3258200000000,933395,,47,PITT RD,NORTH CURL CURL,2099,,160715,LOT 1 SEC 1 DP 5748.,,,,,A,,
