area,contract_date,purchase_price,year,post_code
999.1,11/08/1995,171500,1995,2289
,31/05/1995,129000,1995,2289
619.7,28/03/1995,136000,1995,2289
720.8,08/06/1995,175000,1995,2289
1310.0,22/12/1995,242500,1995,2289
645.0,01/03/1995,120000,1995,2289
1.2,27/06/1995,135000,1995,2729
3562.0,25/05/1995,110000,1995,2729
611.5,23/10/1995,145000,1995,2527
639.1,11/04/1995,200000,1995,2527
651.7,10/09/1995,138000,1995,2527
12.67,07/10/1995,520000,1995,2527
60.95,09/10/1995,1000000,1995,2527
680.6,28/03/1995,190000,1995,2527
576.8,08/06/1995,132900,1995,2527
580.3,24/02/1995,135500,1995,2527
558.4,02/06/1995,153000,1995,2527
570.8,09/06/1995,166000,1995,2527
645.0,10/01/1995,129000,1995,2289
562.8,01/11/1995,125000,1995,2527
562.8,22/03/1995,145000,1995,2527
543.8,02/03/1995,129500,1995,2527
667.7,30/03/1995,195000,1995,2527
1133.0,20/09/1995,232000,1995,2527
719.8,25/02/1995,235000,1995,2289
550.1,21/08/1995,154000,1995,2289
562.8,17/10/1995,163000,1995,2289
550.1,25/08/1995,165000,1995,2289
600.7,28/07/1995,133000,1995,2289
651.3,20/04/1995,115000,1995,2289
694.7,17/10/1995,137000,1995,2527
610.1,23/06/1995,141000,1995,2527
626.3,05/12/1995,250000,1995,2527
592.4,21/07/1995,129000,1995,2527
628.6,05/04/1995,169900,1995,2527
568.0,10/03/1995,177000,1995,2527
677.3,18/10/1995,215000,1995,2289
648.5,12/08/1995,140000,1995,2560
,06/07/1995,190000,1995,2560
635.0,13/06/1995,167000,1995,2560
610.6,14/11/1995,128000,1995,2527
815.2,27/07/1995,212000,1995,2289
645.0,11/01/1995,132000,1995,2289
784.1,22/02/1995,237000,1995,2289
563.9,11/09/1995,118000,1995,2527
597.8,17/05/1995,123500,1995,2527
3164.0,26/08/1995,282500,1995,2640
742.5,17/10/1995,127000,1995,2527
1878.0,11/12/1995,105000,1995,2527
1209.0,15/10/1995,154000,1995,2640
811.6,23/06/1995,123500,1995,2527
,01/06/1995,116000,1995,2527
592.6,26/05/1995,167000,1995,2527
638.6,10/02/1995,114500,1995,2640
,09/03/1995,162000,1995,2527
581.7,29/08/1995,104000,1995,2527
980.1,18/05/1995,113000,1995,2527
1122.0,01/12/1995,125000,1995,2527
647.9,14/06/1995,158000,1995,2527
1113.0,31/08/1995,129950,1995,2527
30.09,07/04/1995,3711888,1995,2527
3.689,21/04/1995,408000,1995,2527
,21/06/1995,120000,1995,2527
638.1,14/08/1995,116000,1995,2527
749.7,31/07/1995,186500,1995,2527
557.7,18/09/1995,145000,1995,2527
558.1,20/06/1995,127000,1995,2527
562.8,27/10/1995,132000,1995,2527
565.0,05/07/1995,125500,1995,2527
613.5,15/02/1995,129000,1995,2527
803.0,19/01/1995,135000,1995,2527
607.0,04/04/1995,108000,1995,2527
575.4,22/08/1995,132000,1995,2527
575.4,19/07/1995,146000,1995,2527
458.6,24/08/1995,157000,1995,2527
557.5,10/11/1995,116000,1995,2527
566.9,20/01/1995,134000,1995,2527
562.7,26/09/1995,122000,1995,2527
573.8,23/03/1995,116500,1995,2527
,25/05/1995,124000,1995,2527
,21/06/1995,109000,1995,2527
499.6,09/09/1995,114000,1995,2527
630.8,23/05/1995,144000,1995,2527
17.13,01/06/1995,215000,1995,2527
17.49,22/02/1995,250000,1995,2527
719.0,05/04/1995,103500,1995,2527
2834.0,04/05/1995,103500,1995,2527
1285.7,03/01/1995,125000,1995,2527
5341.0,18/02/1995,135000,1995,2527
,14/06/1995,150000,1995,2640
403.8,18/09/1995,140000,1995,2527
633.0,23/02/1995,169000,1995,2527
610.9,09/11/1995,176000,1995,2527
,19/06/1995,115000,1995,2640
803.0,14/09/1995,120000,1995,2640
765.1,19/12/1995,115750,1995,2640
1285.7,30/03/1995,117000,1995,2527
1285.7,25/05/1995,123000,1995,2527
3.895,15/06/1995,600000,1995,2640
558.2,26/07/1995,130000,1995,2527
578.1,27/04/1995,136000,1995,2527
558.1,31/01/1995,138000,1995,2527
,11/04/1995,133700,1995,2527
559.1,22/11/1995,120000,1995,2527
